cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
48975,39.717,83.16,43.0,84.0
48978,40.208,82.536,42.0,83.0
48982,39.477,80.839,41.0,82.0
48986,38.916,81.574,46.0,82.0
48989,42.528,84.476,42.0,83.0
49005,43.08,83.693,52.0,86.0
49007,41.238,81.715,44.0,83.0
49009,42.978,82.044,54.0,82.0
49023,40.747,82.451,52.0,85.0
49024,39.003,82.065,46.0,83.0
49025,39.632,82.658,44.0,85.0
49034,42.855000000000004,82.4935,49.5,85.5
49041,43.992,83.815,52.0,86.0
49044,39.091,81.598,47.0,82.0
49045,43.056,82.354,48.0,84.0
49050,42.988,81.032,47.0,82.0
49051,41.152,81.872,53.0,86.0
49054,39.043,80.003,47.0,84.0
49058,42.236,82.026,50.0,82.0
49059,41.52,81.714,47.0,84.0
49073,40.441,83.07400000000001,44.0,86.0
49074,44.042,83.861,50.0,85.0
49076,43.838,83.677,46.0,83.0
49077,42.795,83.019,43.0,84.0
49080,41.167,82.614,51.0,86.0
49081,42.096,81.25,47.0,81.0
49085,40.009,82.978,42.0,84.0
49086,44.578,82.617,47.0,82.0
49087,38.471,82.821,43.0,84.0
49092,38.085,79.066,46.0,82.0
49099,43.121,83.314,49.0,82.0
49103,42.267,81.44,40.0,79.0
49106,39.94,80.883,43.0,84.0
49107,40.517,81.852,47.0,82.0
49119,41.726,82.27,54.0,83.0
49126,42.247,83.241,48.0,83.0
49127,43.568,83.771,46.0,85.0
49130,40.288,81.544,45.5,83.5
49131,39.974,81.223,42.0,82.0
49133,43.846,82.716,47.0,83.0
49136,40.855,81.268,45.0,82.0
49142,41.006,80.78,38.0,81.0
49158,40.855999999999995,81.958,44.5,82.0
49161,41.65,82.318,53.0,87.0
49162,40.857,82.76,55.0,87.0
49165,41.807,83.177,48.0,86.0
49166,39.729,82.466,43.0,85.0
49167,40.129,82.18,47.0,84.0
49171,41.915,82.617,53.0,87.0
49173,40.58,82.278,46.0,83.0
49179,42.569,83.029,51.0,82.0
49182,42.807,84.389,46.0,86.0
49187,43.41,83.499,51.0,86.0
49188,41.828,83.389,45.0,83.0
49191,42.543,82.352,46.0,85.0
49192,41.535,82.222,49.0,84.0
49201,43.038,84.046,44.0,84.0
49202,42.123,82.057,38.0,80.0
49204,40.967,82.815,46.5,84.5
