cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
74331,43.047666666666665,88.28466666666668,46.666666666666664,90.66666666666667
74333,45.39,88.043,56.0,91.0
74334,44.749,87.462,48.0,86.0
74335,41.935,88.26,47.0,90.0
74340,42.511,88.843,43.0,90.0
74342,45.788,88.379,45.0,88.0
74344,44.18066666666667,87.98166666666667,48.0,89.33333333333333
74345,44.356,86.371,54.0,87.0
74347,44.623000000000005,88.0935,48.5,87.0
74358,42.867,89.492,44.0,91.0
74362,43.07,88.337,48.0,90.0
74365,43.749,88.533,45.0,91.0
74366,43.155,88.114,51.0,88.0
74372,44.590500000000006,87.5515,51.0,88.5
74381,44.321,87.173,47.0,90.0
74392,45.265,88.345,51.0,88.0
74395,42.097,88.096,45.0,88.0
74408,44.062,87.655,52.0,87.0
74409,44.105,86.872,47.0,88.0
74412,44.379,88.191,45.0,88.0
74414,42.737,88.303,42.0,90.0
74422,44.6815,87.6035,51.0,87.0
74423,45.38,88.535,48.0,88.0
74425,43.779,88.328,50.0,89.0
74427,45.074,87.4765,49.5,89.5
74430,41.994,88.323,46.0,91.0
74435,41.969,88.844,46.0,92.0
74436,44.094,87.605,46.0,88.0
74442,44.96,88.539,52.0,88.0
74444,43.664,87.856,49.0,89.0
74446,44.872,86.327,51.0,87.0
74450,43.662,87.023,45.0,88.0
74456,44.409,88.722,52.0,88.0
74465,43.495,87.35,48.0,88.0
74467,43.637,88.32499999999999,49.5,89.0
74468,43.534,87.685,46.0,87.0
74471,42.011,86.741,43.0,89.0
74476,42.788,88.056,47.0,92.0
74477,42.682,88.055,43.0,87.0
74478,44.47,87.469,55.0,89.0
74488,44.535,87.404,52.0,88.0
74490,43.323,87.14,44.0,88.0
74496,46.731,88.764,51.0,90.0
